"Date","Time (GMT)","Highest","MHHW (m)","MHW (m)","MSL (m)","MTL (m)","MLW (m)","MLLW (m)","Lowest (m)","Inf"
"1911/05/01","00:00","1.958","1.522","1.333","0.726","0.751","0.168","-0.216","-0.664","0"
"1911/06/01","00:00","1.775","1.61","1.384","0.781","0.802","0.22","-0.207","-0.725","0"
"1911/07/01","00:00","1.805","1.68","1.427","0.811","0.836","0.245","-0.191","-0.694","0"
"1911/08/01","00:00","1.897","1.616","1.391","0.781","0.79","0.193","-0.222","-0.511","0"
"1911/09/01","00:00","1.744","1.595","1.433","0.827","0.839","0.245","-0.103","-0.328","0"
"1911/10/01","00:00","1.836","1.625","1.494","0.869","0.891","0.287","-0.082","-0.237","0"
"1911/11/01","00:00","1.897","1.586","1.418","0.79","0.815","0.208","-0.228","-0.664","0"
"1911/12/01","00:00","1.988","1.659","1.439","0.808","0.833","0.223","-0.264","-0.664","0"
"1912/01/01","00:00","1.988","1.708","1.467","0.833","0.857","0.248","-0.164","-0.755","0"
"1912/02/01","00:00","1.927","1.516","1.327","0.699","0.717","0.11","-0.249","-0.664","0"
"1912/03/01","00:00","1.866","1.58","1.436","0.811","0.83","0.223","-0.094","-0.542","0"
"1912/04/01","00:00","1.714","1.458","1.333","0.711","0.732","0.132","-0.219","-0.542","0"
"1912/05/01","00:00","1.897","1.549","1.357","0.735","0.763","0.171","-0.234","-0.603","0"
"1912/06/01","00:00","1.897","1.622","1.4","0.787","0.818","0.235","-0.191","-0.725","0"
"1912/07/01","00:00","2.018","1.659","1.412","0.799","0.821","0.229","-0.197","-0.633","0"
"1912/08/01","00:00","1.927","1.616","1.391","0.775","0.79","0.193","-0.194","-0.603","0"
"1912/09/01","00:00","1.775","1.564","1.409","0.79","0.805","0.202","-0.13","-0.481","0"
"1912/10/01","00:00","1.744","1.552","1.418","0.79","0.815","0.211","-0.161","-0.42","0"
"1912/11/01","00:00","1.897","1.613","1.409","0.772","0.802","0.193","-0.261","-0.572","0"
"1912/12/01","00:00","1.866","1.58","1.342","0.702","0.723","0.107","-0.368","-0.847","0"
"1913/01/01","00:00","2.018","1.631","1.384","0.747","0.772","0.156","-0.271","-0.725","0"
"1913/02/01","00:00","1.866","1.607","1.4","0.781","0.802","0.205","-0.167","-0.603","0"
"1913/03/01","00:00","1.653","1.464","1.308","0.69","0.708","0.11","-0.24","-0.481","0"
