"Date","Time (GMT)","Highest","MHHW (m)","MHW (m)","MSL (m)","MTL (m)","MLW (m)","MLLW (m)","Lowest (m)","Inf"
"1945/06/01","00:00","1.927","1.674","1.464","0.833","0.854","0.245","-0.161","-0.633","0"
"1945/07/01","00:00","2.049","1.729","1.503","0.879","0.891","0.275","-0.075","-0.45","0"
"1945/08/01","00:00","1.897","1.698","1.485","0.863","0.879","0.269","-0.082","-0.389","0"
"1945/09/01","00:00","1.866","1.674","1.528","0.906","0.921","0.315","0.013","-0.268","0"
"1945/10/01","00:00","1.866","1.616","1.522","0.894","0.909","0.293","-0.008","-0.45","0"
"1945/11/01","00:00","1.958","1.631","1.476","0.839","0.854","0.229","-0.133","-0.603","0"
"1945/12/01","00:00","2.201","1.75","1.537","0.921","0.939","0.339","-0.079","-0.542","0"
"1946/01/01","00:00","1.958","1.631","1.412","0.811","0.839","0.266","-0.136","-0.572","0"
"1946/02/01","00:00","1.897","1.604","1.415","0.818","0.827","0.238","-0.091","-0.481","0"
"1946/03/01","00:00","1.714","1.494","1.366","0.754","0.766","0.165","-0.127","-0.45","0"
"1946/04/01","00:00","1.805","1.5","1.381","0.76","0.772","0.162","-0.13","-0.328","0"
"1946/05/01","00:00","1.958","1.634","1.436","0.799","0.824","0.208","-0.173","-0.633","0"
"1946/06/01","00:00","1.958","1.647","1.412","0.778","0.796","0.181","-0.255","-0.694","0"
"1946/07/01","00:00","1.927","1.714","1.482","0.842","0.866","0.248","-0.161","-0.603","0"
"1946/08/01","00:00","1.897","1.659","1.464","0.839","0.854","0.241","-0.091","-0.42","0"
"1946/09/01","00:00","1.836","1.65","1.5","0.888","0.903","0.302","0.007","-0.176","0"
"1946/10/01","00:00","1.897","1.577","1.464","0.851","0.869","0.275","-0.066","-0.207","0"
"1946/11/01","00:00","2.049","1.647","1.503","0.872","0.897","0.29","-0.112","-0.542","0"
"1946/12/01","00:00","2.11","1.711","1.509","0.872","0.891","0.275","-0.161","-0.694","0"
"1947/01/01","00:00","2.11","1.686","1.449","0.818","0.83","0.211","-0.161","-0.633","0"
"1947/02/01","00:00","2.018","1.689","1.491","0.857","0.882","0.272","-0.082","-0.603","0"
"1947/03/01","00:00","1.897","1.616","1.473","0.86","0.869","0.266","-0.057","-0.389","0"
"1947/04/01","00:00","1.805","1.491","1.366","0.744","0.763","0.159","-0.176","-0.389","0"
"1947/05/01","00:00","2.018","1.647","1.458","0.818","0.842","0.223","-0.133","-0.511","0"
"1947/06/01","00:00","2.11","1.714","1.476","0.836","0.866","0.254","-0.167","-0.664","0"
"1947/07/01","00:00","1.988","1.671","1.43","0.799","0.824","0.22","-0.2","-0.694","0"
"1947/08/01","00:00","1.988","1.668","1.461","0.839","0.857","0.254","-0.13","-0.542","0"
"1947/09/01","00:00","1.866","1.616","1.47","0.851","0.866","0.266","-0.033","-0.389","0"
"1947/10/01","00:00","1.866","1.607","1.482","0.851","0.872","0.26","-0.075","-0.328","0"
"1947/11/01","00:00","1.988","1.616","1.439","0.793","0.818","0.199","-0.237","-0.572","0"
"1947/12/01","00:00","2.079","1.695","1.47","0.815","0.842","0.211","-0.274","-0.694","0"
"1948/01/01","00:00","2.232","1.729","1.509","0.866","0.891","0.269","-0.13","-0.542","0"
"1948/02/01","00:00","1.927","1.628","1.424","0.793","0.805","0.187","-0.152","-0.694","0"
"1948/03/01","00:00","1.866","1.558","1.406","0.79","0.808","0.211","-0.118","-0.481","0"
"1948/04/01","00:00","1.805","1.577","1.452","0.842","0.86","0.269","-0.088","-0.42","0"
"1948/05/01","00:00","1.805","1.561","1.388","0.79","0.811","0.232","-0.149","-0.481","0"
"1948/06/01","00:00","1.958","1.692","1.464","0.86","0.891","0.315","-0.103","-0.481","0"
"1948/07/01","00:00","1.958","1.741","1.485","0.879","0.897","0.312","-0.112","-0.603","0"
"1948/08/01","00:00","2.018","1.72","1.494","0.869","0.891","0.284","-0.115","-0.511","0"
"1948/09/01","00:00","1.866","1.662","1.506","0.879","0.897","0.284","-0.048","-0.511","0"
"1948/10/01","00:00","1.836","1.586","1.47","0.833","0.848","0.229","-0.094","-0.359","0"
"1948/11/01","00:00","1.927","1.637","1.458","0.811","0.839","0.22","-0.21","-0.633","0"
"1948/12/01","00:00","2.049","1.714","1.479","0.842","0.866","0.257","-0.228","-0.603","0"
"1949/01/01","00:00","2.018","1.671","1.442","0.815","0.839","0.235","-0.179","-0.633","0"
"1949/02/01","00:00","1.927","1.683","1.482","0.863","0.882","0.281","-0.066","-0.542","0"
"1949/03/01","00:00","1.927","1.604","1.452","0.86","0.872","0.296","0.013","-0.359","0"
"1949/04/01","00:00","1.927","1.531","1.378","0.775","0.793","0.205","-0.155","-0.389","0"
"1949/05/01","00:00","1.988","1.644","1.439","0.818","0.848","0.26","-0.179","-0.511","0"
"1949/06/01","00:00","1.988","1.738","1.506","0.882","0.909","0.309","-0.143","-0.511","0"
"1949/07/01","00:00","1.927","1.732","1.485","0.851","0.872","0.26","-0.127","-0.481","0"
"1949/08/01","00:00","1.897","1.711","1.476","0.857","0.872","0.269","-0.121","-0.45","0"
"1949/09/01","00:00","1.897","1.683","1.519","0.906","0.921","0.327","-0.018","-0.176","0"
"1949/10/01","00:00","1.866","1.564","1.445","0.824","0.845","0.245","-0.112","-0.572","0"
"1949/11/01","00:00","1.988","1.641","1.458","0.83","0.854","0.251","-0.155","-0.664","0"
"1949/12/01","00:00","2.11","1.641","1.406","0.784","0.805","0.208","-0.24","-0.755","0"
"1950/01/01","00:00","2.11","1.665","1.43","0.802","0.83","0.229","-0.216","-0.603","0"
"1950/02/01","00:00","1.866","1.598","1.391","0.796","0.811","0.229","-0.127","-0.542","0"
"1950/03/01","00:00","1.744","1.503","1.348","0.735","0.751","0.153","-0.188","-0.45","0"
"1950/04/01","00:00","1.836","1.525","1.381","0.763","0.781","0.184","-0.152","-0.42","0"
"1950/05/01","00:00","2.171","1.665","1.439","0.793","0.83","0.217","-0.207","-0.725","0"
"1950/06/01","00:00","2.14","1.717","1.467","0.842","0.869","0.272","-0.191","-0.664","0"
"1950/07/01","00:00","2.049","1.784","1.528","0.9","0.921","0.315","-0.106","-0.542","0"
"1950/08/01","00:00","1.866","1.674","1.473","0.854","0.872","0.272","-0.079","-0.42","0"
"1950/09/01","00:00","1.866","1.647","1.488","0.882","0.897","0.309","-0.008","-0.207","0"
"1950/10/01","00:00","1.927","1.625","1.485","0.882","0.903","0.318","-0.057","-0.359","0"
"1950/11/01","00:00","2.049","1.665","1.491","0.875","0.903","0.312","-0.13","-0.572","0"
"1950/12/01","00:00","2.232","1.762","1.546","0.952","0.985","0.424","-0.024","-0.511","0"
"1951/01/01","00:00","2.018","1.701","1.445","0.842","0.863","0.281","-0.124","-0.725","0"
"1951/02/01","00:00","2.018","1.695","1.491","0.882","0.903","0.315","-0.033","-0.511","0"
"1951/03/01","00:00","1.836","1.595","1.427","0.811","0.83","0.229","-0.112","-0.42","0"
"1951/04/01","00:00","1.897","1.573","1.43","0.811","0.833","0.235","-0.127","-0.511","0"
"1951/05/01","00:00","2.14","1.686","1.473","0.851","0.879","0.281","-0.103","-0.572","0"
"1951/06/01","00:00","2.171","1.769","1.516","0.894","0.927","0.336","-0.106","-0.603","0"
"1951/07/01","00:00","2.11","1.784","1.534","0.906","0.933","0.336","-0.085","-0.572","0"
"1951/08/01","00:00","2.049","1.775","1.561","0.93","0.958","0.351","-0.027","-0.42","0"
"1951/09/01","00:00","1.988","1.714","1.564","0.943","0.958","0.351","0.049","-0.146","0"
"1951/10/01","00:00","1.927","1.692","1.552","0.918","0.936","0.321","-0.03","-0.389","0"
"1951/11/01","00:00","2.201","1.79","1.589","0.955","0.976","0.366","-0.082","-0.511","0"
"1951/12/01","00:00","2.293","1.83","1.592","0.943","0.973","0.354","-0.115","-0.481","0"
"1952/01/01","00:00","2.323","1.845","1.616","1.007","1.034","0.449","0.062","-0.511","0"
"1952/02/01","00:00","1.958","1.698","1.494","0.897","0.915","0.336","0.013","-0.481","0"
"1952/03/01","00:00","1.897","1.616","1.449","0.857","0.875","0.302","-0.018","-0.45","0"
"1952/04/01","00:00","1.836","1.589","1.439","0.851","0.882","0.321","-0.036","-0.298","0"
"1952/05/01","00:00","1.836","1.58","1.391","0.808","0.842","0.293","-0.106","-0.542","0"
"1952/06/01","00:00","2.049","1.705","1.464","0.857","0.891","0.318","-0.1","-0.511","0"
"1952/07/01","00:00","2.079","1.762","1.5","0.885","0.903","0.306","-0.106","-0.572","0"
"1952/08/01","00:00","2.049","1.75","1.522","0.891","0.912","0.302","-0.085","-0.511","0"
"1952/09/01","00:00","1.958","1.695","1.537","0.903","0.924","0.312","-0.018","-0.328","0"
"1952/10/01","00:00","1.958","1.641","1.522","0.872","0.897","0.272","-0.057","-0.237","0"
"1952/11/01","00:00","2.11","1.765","1.573","0.927","0.949","0.327","-0.103","-0.45","0"
"1952/12/01","00:00","2.323","1.848","1.607","0.961","0.991","0.373","-0.097","-0.45","0"
"1953/01/01","00:00","2.11","1.765","1.528","0.921","0.949","0.37","-0.027","-0.603","0"
"1953/02/01","00:00","1.866","1.595","1.394","0.787","0.802","0.211","-0.115","-0.542","0"
"1953/03/01","00:00","1.958","1.58","1.43","0.811","0.821","0.208","-0.069","-0.359","0"
"1953/04/01","00:00","1.805","1.546","1.378","0.763","0.778","0.181","-0.173","-0.542","0"
"1953/05/01","00:00","1.927","1.622","1.409","0.781","0.808","0.205","-0.228","-0.511","0"
"1953/06/01","00:00","1.927","1.674","1.43","0.799","0.83","0.229","-0.204","-0.572","0"
"1953/07/01","00:00","1.958","1.747","1.506","0.872","0.894","0.278","-0.103","-0.45","0"
"1953/08/01","00:00","1.897","1.695","1.47","0.851","0.866","0.26","-0.085","-0.359","0"
"1953/09/01","00:00","1.927","1.701","1.54","0.918","0.933","0.327","0.013","-0.207","0"
"1953/10/01","00:00","2.018","1.598","1.476","0.857","0.872","0.269","-0.075","-0.42","0"
"1953/11/01","00:00","1.958","1.711","1.516","0.888","0.906","0.293","-0.1","-0.664","0"
"1953/12/01","00:00","2.018","1.662","1.424","0.799","0.821","0.214","-0.191","-0.633","0"
"1954/01/01","00:00","2.14","1.769","1.531","0.903","0.927","0.321","-0.082","-0.481","0"
"1954/02/01","00:00","1.988","1.674","1.476","0.875","0.888","0.299","-0.002","-0.42","0"
"1954/03/01","00:00","2.049","1.647","1.497","0.885","0.9","0.302","0.007","-0.237","0"
"1954/04/01","00:00","1.958","1.589","1.433","0.821","0.836","0.235","-0.069","-0.45","0"
"1954/05/01","00:00","1.988","1.692","1.467","0.833","0.854","0.245","-0.149","-0.603","0"
"1954/06/01","00:00","2.049","1.711","1.458","0.821","0.842","0.226","-0.2","-0.694","0"
"1954/07/01","00:00","2.018","1.738","1.491","0.848","0.866","0.238","-0.155","-0.572","0"
"1954/08/01","00:00","1.866","1.698","1.503","0.869","0.885","0.263","-0.033","-0.268","0"
"1954/09/01","00:00","1.836","1.625","1.473","0.848","0.863","0.254","-0.018","-0.176","0"
"1954/10/01","00:00","1.927","1.592","1.452","0.827","0.842","0.232","-0.115","-0.481","0"
"1954/11/01","00:00","2.171","1.656","1.479","0.842","0.86","0.241","-0.176","-0.633","0"
"1954/12/01","00:00","2.232","1.711","1.488","0.863","0.879","0.266","-0.133","-0.694","0"
"1955/01/01","00:00","2.079","1.698","1.458","0.836","0.845","0.235","-0.115","-0.542","0"
"1955/02/01","00:00","1.866","1.625","1.427","0.793","0.802","0.177","-0.124","-0.603","0"
"1955/03/01","00:00","1.897","1.583","1.424","0.796","0.808","0.19","-0.106","-0.298","0"
"1955/04/01","00:00","1.927","1.531","1.394","0.76","0.772","0.15","-0.176","-0.542","0"
"1955/05/01","00:00","2.11","1.641","1.43","0.796","0.808","0.19","-0.155","-0.572","0"
"1955/06/01","00:00","2.049","1.711","1.467","0.83","0.851","0.232","-0.158","-0.664","0"
"1955/07/01","00:00","1.988","1.711","1.461","0.827","0.845","0.226","-0.179","-0.633","0"
"1955/08/01","00:00","1.958","1.714","1.509","0.879","0.894","0.278","-0.045","-0.389","0"
"1955/09/01","00:00","1.805","1.613","1.485","0.866","0.872","0.26","0.01","-0.176","0"
"1955/10/01","00:00","1.805","1.57","1.439","0.802","0.818","0.196","-0.143","-0.481","0"
"1955/11/01","00:00","2.018","1.644","1.445","0.793","0.815","0.187","-0.228","-0.694","0"
"1955/12/01","00:00","2.201","1.784","1.546","0.903","0.924","0.302","-0.115","-0.603","0"
"1956/01/01","00:00","2.293","1.759","1.552","0.961","0.985","0.421","0.089","-0.389","0"
"1956/02/01","00:00","1.988","1.656","1.464","0.863","0.875","0.29","0.031","-0.328","0"
"1956/03/01","00:00","1.653","1.506","1.36","0.76","0.772","0.187","-0.085","-0.328","0"
"1956/04/01","00:00","1.927","1.595","1.442","0.815","0.833","0.223","-0.091","-0.359","0"
"1956/05/01","00:00","1.897","1.65","1.467","0.851","0.875","0.281","-0.079","-0.603","0"
"1956/06/01","00:00","1.988","1.695","1.467","0.845","0.869","0.269","-0.088","-0.572","0"
"1956/07/01","00:00","2.049","1.753","1.509","0.882","0.894","0.275","-0.072","-0.542","0"
"1956/08/01","00:00","1.897","1.708","1.503","0.869","0.882","0.257","-0.054","-0.542","0"
"1956/09/01","00:00","1.866","1.641","1.506","0.863","0.879","0.251","-0.008","-0.268","0"
"1956/10/01","00:00","1.836","1.61","1.494","0.842","0.857","0.217","-0.057","-0.298","0"
"1956/11/01","00:00","1.897","1.65","1.464","0.808","0.833","0.199","-0.17","-0.511","0"
"1956/12/01","00:00","1.958","1.668","1.449","0.79","0.808","0.171","-0.222","-0.603","0"
"1957/01/01","00:00","2.079","1.72","1.506","0.86","0.872","0.241","-0.103","-0.633","0"
"1957/02/01","00:00","1.958","1.708","1.522","0.894","0.894","0.266","0.004","-0.42","0"
"1957/03/01","00:00","1.897","1.558","1.439","0.83","0.83","0.223","0.007","-0.328","0"
"1957/04/01","00:00","1.988","1.619","1.464","0.83","0.842","0.22","-0.069","-0.359","0"
"1957/05/01","00:00","2.018","1.729","1.534","0.9","0.915","0.299","-0.054","-0.42","0"
"1957/06/01","00:00","2.11","1.747","1.519","0.879","0.894","0.269","-0.124","-0.389","0"
"1957/07/01","00:00","2.079","1.808","1.592","0.93","0.939","0.29","-0.039","-0.298","0"
"1957/08/01","00:00","1.988","1.747","1.549","0.912","0.915","0.278","0.019","-0.268","0"
"1957/09/01","00:00","2.018","1.738","1.601","0.967","0.976","0.348","0.095","-0.085","0"
"1957/10/01","00:00","2.079","1.698","1.595","0.961","0.97","0.348","0.056","-0.328","0"
"1957/11/01","00:00","1.988","1.726","1.561","0.924","0.936","0.312","-0.03","-0.481","0"
"1957/12/01","00:00","2.171","1.778","1.567","0.949","0.952","0.336","-0.018","-0.389","0"
"1958/01/01","00:00","1.988","1.793","1.577","0.949","0.961","0.345","0.025","-0.389","0"
"1958/02/01","00:00","2.354","1.851","1.671","1.083","1.101","0.528","0.287","-0.054","0"
"1958/03/01","00:00","1.897","1.701","1.58","0.979","0.991","0.406","0.171","-0.146","0"
"1958/04/01","00:00","2.11","1.625","1.503","0.915","0.936","0.37","0.12","-0.176","0"
"1958/05/01","00:00","1.988","1.717","1.522","0.879","0.894","0.263","-0.045","-0.45","0"
"1958/06/01","00:00","2.049","1.769","1.543","0.9","0.924","0.306","-0.045","-0.42","0"
"1958/07/01","00:00","2.018","1.787","1.567","0.912","0.924","0.284","-0.06","-0.42","0"
"1958/08/01","00:00","1.958","1.778","1.604","0.964","0.973","0.345","0.086","-0.176","0"
"1958/09/01","00:00","1.927","1.741","1.622","0.973","0.991","0.36","0.159","-0.054","0"
"1958/10/01","00:00","2.018","1.72","1.607","0.976","0.979","0.354","0.083","-0.237","0"
"1958/11/01","00:00","2.049","1.698","1.543","0.891","0.906","0.266","-0.088","-0.511","0"
"1958/12/01","00:00","2.171","1.793","1.607","0.958","0.961","0.318","-0.042","-0.511","0"
"1959/01/01","00:00","2.354","1.823","1.607","0.958","0.964","0.324","0.025","-0.268","0"
"1959/02/01","00:00","2.171","1.808","1.637","0.982","0.994","0.348","0.095","-0.268","0"
"1959/03/01","00:00","1.805","1.564","1.439","0.808","0.811","0.184","-0.051","-0.359","0"
"1959/04/01","00:00","2.018","1.622","1.509","0.854","0.86","0.214","-0.051","-0.389","0"
"1959/05/01","00:00","2.049","1.613","1.439","0.802","0.808","0.177","-0.124","-0.511","0"
"1959/06/01","00:00","2.049","1.689","1.473","0.821","0.836","0.196","-0.14","-0.542","0"
"1959/07/01","00:00","2.079","1.796","1.573","0.921","0.933","0.29","-0.057","-0.42","0"
"1959/08/01","00:00","1.988","1.759","1.577","0.936","0.946","0.312","0.028","-0.237","0"
"1959/09/01","00:00","1.897","1.705","1.589","0.943","0.952","0.312","0.095","-0.085","0"
"1959/10/01","00:00","1.897","1.689","1.601","0.949","0.958","0.312","0.071","-0.298","0"
"1959/11/01","00:00","2.14","1.698","1.546","0.885","0.897","0.251","-0.085","-0.42","0"
"1959/12/01","00:00","2.171","1.787","1.586","0.906","0.918","0.251","-0.155","-0.572","0"
"1960/01/01","00:00","2.079","1.765","1.567","0.906","0.909","0.254","-0.06","-0.511","0"
"1960/02/01","00:00","1.897","1.665","1.494","0.857","0.857","0.22","-0.027","-0.45","0"
"1960/03/01","00:00","1.775","1.561","1.442","0.815","0.821","0.199","-0.018","-0.176","0"
"1960/04/01","00:00","1.836","1.488","1.375","0.741","0.757","0.138","-0.13","-0.511","0"
"1960/05/01","00:00","1.866","1.537","1.378","0.741","0.744","0.113","-0.225","-0.603","0"
"1960/06/01","00:00","2.049","1.714","1.506","0.86","0.875","0.245","-0.094","-0.603","0"
"1960/07/01","00:00","2.14","1.735","1.506","0.866","0.866","0.226","-0.079","-0.511","0"
"1960/08/01","00:00","1.958","1.701","1.506","0.863","0.875","0.245","-0.054","-0.511","0"
"1960/09/01","00:00","1.897","1.653","1.531","0.9","0.903","0.272","0.028","-0.359","0"
"1960/10/01","00:00","1.836","1.589","1.506","0.851","0.866","0.226","-0.024","-0.237","0"
"1960/11/01","00:00","1.927","1.665","1.509","0.866","0.879","0.248","-0.079","-0.572","0"
"1960/12/01","00:00","2.11","1.729","1.522","0.872","0.885","0.251","-0.136","-0.664","0"
"1961/01/01","00:00","2.049","1.756","1.549","0.891","0.909","0.269","-0.072","-0.572","0"
"1961/02/01","00:00","1.927","1.634","1.464","0.839","0.839","0.217","-0.051","-0.481","0"
"1961/03/01","00:00","1.805","1.531","1.442","0.821","0.815","0.187","-0.036","-0.328","0"
"1961/04/01","00:00","1.744","1.54","1.43","0.799","0.802","0.171","-0.082","-0.207","0"
"1961/05/01","00:00","1.897","1.577","1.397","0.754","0.76","0.123","-0.216","-0.481","0"
"1961/06/01","00:00","1.988","1.735","1.516","0.866","0.869","0.226","-0.143","-0.664","0"
"1961/07/01","00:00","2.049","1.781","1.567","0.897","0.909","0.251","-0.091","-0.511","0"
"1961/08/01","00:00","1.958","1.741","1.552","0.9","0.903","0.254","-0.018","-0.42","0"
"1961/09/01","00:00","1.866","1.683","1.552","0.918","0.924","0.296","0.059","-0.176","0"
"1961/10/01","00:00","1.836","1.564","1.476","0.851","0.851","0.226","-0.057","-0.298","0"
"1961/11/01","00:00","1.958","1.641","1.509","0.872","0.882","0.257","-0.085","-0.389","0"
"1961/12/01","00:00","1.958","1.714","1.516","0.875","0.888","0.257","-0.124","-0.45","0"
"1962/01/01","00:00","1.988","1.729","1.509","0.86","0.872","0.238","-0.1","-0.511","0"
"1962/02/01","00:00","2.018","1.769","1.589","0.961","0.976","0.36","0.083","-0.481","0"
"1962/03/01","00:00","2.11","1.573","1.452","0.833","0.839","0.226","-0.045","-0.359","0"
"1962/04/01","00:00","1.622","1.464","1.363","0.726","0.729","0.095","-0.182","-0.389","0"
"1962/05/01","00:00","1.866","1.634","1.455","0.802","0.811","0.168","-0.143","-0.45","0"
"1962/06/01","00:00","1.927","1.717","1.5","0.857","0.866","0.235","-0.133","-0.481","0"
"1962/07/01","00:00","2.049","1.778","1.549","0.9","0.909","0.272","-0.091","-0.389","0"
"1962/08/01","00:00","1.988","1.756","1.564","0.915","0.927","0.29","-0.008","-0.389","0"
"1962/09/01","00:00","1.927","1.708","1.586","0.939","0.952","0.318","0.086","-0.207","0"
"1962/10/01","00:00","2.171","1.711","1.604","0.976","0.976","0.348","0.071","-0.176","0"
"1962/11/01","00:00","NaN","1.668","1.516","0.875","0.888","0.26","-0.091","-0.42","11"
"1962/12/01","00:00","2.11","1.756","1.561","0.915","0.933","0.306","-0.115","-0.42","0"
"1963/01/01","00:00","2.049","1.753","1.546","0.897","0.918","0.287","-0.066","-0.389","0"
"1963/02/01","00:00","2.14","1.781","1.589","0.97","0.985","0.379","0.095","-0.359","0"
"1963/03/01","00:00","1.958","1.586","1.449","0.815","0.821","0.196","-0.063","-0.298","0"
"1963/04/01","00:00","2.079","1.604","1.497","0.879","0.894","0.29","-0.005","-0.389","0"
"1963/05/01","00:00","2.079","1.644","1.482","0.857","0.869","0.26","-0.066","-0.481","0"
"1963/06/01","00:00","2.018","1.732","1.516","0.894","0.906","0.299","-0.069","-0.542","0"
"1963/07/01","00:00","2.079","1.781","1.546","0.909","0.924","0.306","-0.054","-0.45","0"
"1963/08/01","00:00","1.988","1.726","1.534","0.9","0.918","0.302","-0.039","-0.359","0"
"1963/09/01","00:00","1.897","1.723","1.586","0.946","0.955","0.324","0.04","-0.207","0"
"1963/10/01","00:00","1.927","1.656","1.564","0.912","0.915","0.266","-0.002","-0.146","0"
"1963/11/01","00:00","2.14","1.769","1.61","0.939","0.961","0.309","-0.066","-0.45","0"
"1963/12/01","00:00","2.201","1.82","1.607","0.936","0.955","0.302","-0.146","-0.572","0"
"1964/01/01","00:00","2.079","1.747","1.54","0.894","0.903","0.266","-0.136","-0.542","0"
"1964/02/01","00:00","1.836","1.616","1.436","0.811","0.818","0.196","-0.118","-0.481","0"
"1964/03/01","00:00","1.744","1.528","1.403","0.769","0.778","0.153","-0.103","-0.328","0"
"1964/04/01","00:00","1.836","1.519","1.391","0.744","0.772","0.153","-0.167","-0.42","0"
"1964/05/01","00:00","1.927","1.58","1.409","0.79","0.799","0.19","-0.2","-0.603","0"
"1964/06/01","00:00","2.018","1.677","1.467","0.824","0.842","0.22","-0.185","-0.725","0"
"1964/07/01","00:00","2.018","1.717","1.485","0.821","0.842","0.202","-0.164","-0.755","0"
"1964/08/01","00:00","2.049","1.772","1.549","0.918","0.921","0.293","-0.066","-0.511","0"
"1964/09/01","00:00","1.897","1.705","1.561","0.936","0.933","0.302","-0.011","-0.389","0"
"1964/10/01","00:00","1.897","1.634","1.534","0.897","0.897","0.26","-0.057","-0.328","0"
"1964/11/01","00:00","2.049","1.705","1.54","0.894","0.903","0.263","-0.109","-0.603","0"
"1964/12/01","00:00","2.262","1.781","1.567","0.927","0.952","0.336","-0.106","-0.542","0"
"1965/01/01","00:00","2.14","1.778","1.552","0.952","0.985","0.418","0.007","-0.542","0"
"1965/02/01","00:00","2.018","1.705","1.506","0.894","0.906","0.306","-0.039","-0.511","0"
"1965/03/01","00:00","1.866","1.662","1.531","0.897","0.918","0.302","0.007","-0.328","0"
"1965/04/01","00:00","1.927","1.65","1.531","0.9","0.924","0.318","0.031","-0.146","0"
"1965/05/01","00:00","2.079","1.613","1.421","0.778","0.802","0.187","-0.213","-0.542","0"
"1965/06/01","00:00","2.11","1.738","1.513","0.863","0.888","0.266","-0.188","-0.633","0"
"1965/07/01","00:00","NaN","1.753","1.522","0.875","0.888","0.254","-0.17","NaN","11"
"1965/08/01","00:00","2.079","1.753","1.564","0.927","0.933","0.302","-0.018","-0.389","0"
"1965/09/01","00:00","1.927","1.75","1.598","0.961","0.973","0.351","0.062","-0.237","0"
"1965/10/01","00:00","1.927","1.665","1.549","0.924","0.943","0.336","-0.002","-0.237","0"
"1965/11/01","00:00","2.11","1.799","1.647","1.019","1.034","0.421","0.037","-0.328","0"
"1965/12/01","00:00","2.262","1.872","1.65","1.031","1.046","0.443","0.04","-0.328","0"
"1966/01/01","00:00","2.14","1.808","1.567","0.952","0.967","0.366","-0.027","-0.572","0"
"1966/02/01","00:00","2.232","1.72","1.513","0.891","0.897","0.284","-0.091","-0.42","0"
"1966/03/01","00:00","1.866","1.595","1.439","0.818","0.824","0.208","-0.127","-0.542","0"
"1966/04/01","00:00","1.897","1.628","1.516","0.875","0.891","0.269","-0.088","-0.298","0"
"1966/05/01","00:00","1.927","1.701","1.519","0.866","0.885","0.251","-0.124","-0.45","0"
"1966/06/01","00:00","2.049","1.753","1.516","0.869","0.888","0.26","-0.194","-0.542","0"
"1966/07/01","00:00","2.018","1.775","1.543","0.894","0.921","0.299","-0.146","-0.572","0"
"1966/08/01","00:00","2.079","1.765","1.573","0.936","0.958","0.339","-0.027","-0.42","0"
"1966/09/01","00:00","1.897","1.674","1.534","0.909","0.915","0.296","0.001","-0.42","0"
"1966/10/01","00:00","1.958","1.683","1.54","0.906","0.927","0.315","-0.024","-0.298","0"
"1966/11/01","00:00","2.049","1.775","1.589","0.952","0.97","0.354","-0.066","-0.389","0"
"1966/12/01","00:00","2.049","1.805","1.57","0.921","0.958","0.348","-0.124","-0.572","0"
"1967/01/01","00:00","2.293","1.802","1.564","0.933","0.955","0.342","-0.066","-0.481","0"
"1967/02/01","00:00","1.988","1.708","1.497","0.888","0.903","0.309","-0.045","-0.237","0"
"1967/03/01","00:00","1.836","1.695","1.528","0.909","0.924","0.321","-0.011","-0.298","0"
"1967/04/01","00:00","1.988","1.625","1.494","0.882","0.906","0.315","-0.048","-0.45","0"
"1967/05/01","00:00","2.049","1.641","1.461","0.857","0.882","0.299","-0.097","-0.511","0"
"1967/06/01","00:00","2.049","1.75","1.528","0.912","0.943","0.36","-0.06","-0.511","0"
"1967/07/01","00:00","1.988","1.759","1.516","0.918","0.93","0.348","-0.057","-0.481","0"
"1967/08/01","00:00","1.958","1.759","1.546","0.933","0.949","0.351","-0.027","-0.359","0"
"1967/09/01","00:00","1.897","1.735","1.58","0.949","0.961","0.339","0.016","-0.328","0"
"1967/10/01","00:00","1.927","1.641","1.525","0.885","0.894","0.266","-0.054","-0.298","0"
"1967/11/01","00:00","2.262","1.805","1.61","0.961","0.973","0.339","-0.066","-0.42","1"
"1967/12/01","00:00","2.171","1.796","1.552","0.879","0.912","0.275","-0.2","-0.633","0"
"1968/01/01","00:00","2.232","1.805","1.558","0.915","0.93","0.306","-0.136","-0.511","0"
"1968/02/01","00:00","1.988","1.781","1.586","0.964","0.982","0.376","0.025","-0.298","0"
"1968/03/01","00:00","1.866","1.641","1.491","0.891","0.903","0.312","0.022","-0.298","0"
"1968/04/01","00:00","1.927","1.567","1.421","0.796","0.821","0.22","-0.146","-0.511","0"
"1968/05/01","00:00","2.079","1.543","1.452","0.818","0.842","0.235","-0.21","-0.664","0"
"1968/06/01","00:00","2.171","1.753","1.525","0.879","0.909","0.293","-0.17","-0.755","0"
"1968/07/01","00:00","2.171","1.778","1.543","0.9","0.918","0.293","-0.109","-0.603","0"
"1968/08/01","00:00","2.079","1.784","1.555","0.921","0.939","0.321","-0.051","-0.481","0"
"1968/09/01","00:00","1.958","1.753","1.586","0.943","0.964","0.345","-0.002","-0.268","0"
"1968/10/01","00:00","2.049","1.686","1.555","0.9","0.927","0.299","-0.054","-0.389","0"
"1968/11/01","00:00","2.14","1.732","1.537","0.888","0.909","0.278","-0.106","-0.603","0"
"1968/12/01","00:00","2.232","1.833","1.57","0.918","0.939","0.312","-0.149","-0.664","0"
"1969/01/01","00:00","2.384","1.924","1.686","1.068","1.089","0.491","0.053","-0.572","0"
"1969/02/01","00:00","2.323","1.884","1.671","1.104","1.122","0.571","0.232","-0.207","0"
